Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
558606,Akimbo Beats,Miss The Phonk,0CLvKiH7MUBLtJPq9428iR,38,2022,hardstyle,0.388,0.797,8,-5.517,1,0.11,0.119,0.0,0.112,0.185,84.283,93013,4
388366,Nemir,Sur ma vie,1h9qXxuTxoQ2vDA7oPnxO5,44,2019,french,0.911,0.744,4,-7.017,0,0.279,0.378,1.92e-05,0.257,0.792,122.05,169259,4
338213,MY FIRST STORY,絶対絶命,4inxbinGBe0quHygAxlDNd,34,2018,hard-rock,0.177,0.987,6,-3.269,1,0.48,8.29e-05,3.53e-05,0.0842,0.236,169.813,247867,4
268497,Omar S,Yagiveup,7tNvGSr65K4Kwk63qaYpdm,1,2017,detroit-techno,0.894,0.939,8,-12.087,1,0.0878,0.0256,0.877,0.107,0.712,96.08,268690,4
63090,Joe Hisaishi,Nahoko (Together),2mK2qTlAk6mtNrFEEc5JFt,26,2013,classical,0.358,0.0328,0,-22.264,0,0.0503,0.945,0.00032,0.0823,0.375,71.652,64253,3
122323,TCTS,You,7iIVHu20rli3uGdI7vu9TB,26,2014,deep-house,0.874,0.43,7,-10.983,0,0.0501,0.0552,0.673,0.113,0.19,120.005,224500,4
1230113,Imperative Reaction,Head Up Too High,4Y33TtmjDOFqASuC5dEmr0,3,2008,industrial,0.584,0.656,7,-4.631,1,0.0497,0.0155,0.302,0.0637,0.679,95.058,210133,4
526582,Kindred The Family Soul,Break It Down,4OQwIQjC5PIiosSjnDgg6q,38,2021,soul,0.656,0.488,7,-10.401,0,0.0533,0.164,0.0,0.0487,0.53,132.096,190167,4
469875,Shoshana Bean,O Come All Ye Faithful,36oENXz5I412A54FMj99uT,3,2020,show-tunes,0.502,0.27,5,-14.245,1,0.0329,0.312,0.0,0.0969,0.255,101.85,298331,4
235776,Puzzle,World,1dxUYvZOtnGRzlHtsHu9uU,33,2016,garage,0.719,0.415,11,-17.321,0,0.0637,0.269,0.361,0.0964,0.499,92.546,154607,4
1455091,WITCH,Motherless Child,4Lg3yFh3zXlJqs7B18EoOI,14,2011,psych-rock,0.486,0.753,6,-6.837,1,0.0394,0.197,0.169,0.414,0.651,131.248,237067,4
1310513,Kumar Sanu,Pyar Mein Hota Hai Kya,5hRP5vgmDNQLMaFFCme9CA,35,2009,pop-film,0.462,0.755,11,-4.806,1,0.0599,0.626,0.0,0.346,0.582,91.806,323280,4
926230,Fats Domino,Make Me Belong to You,5OkytAUdfonN8TKV5csQVE,16,2004,blues,0.736,0.294,0,-13.76,1,0.0365,0.533,0.0229,0.213,0.844,109.956,141187,4
1121914,LCD Soundsystem,45:33,4jfJb4I62fGIRrhbClYcHG,32,2007,alt-rock,0.478,0.897,7,-6.554,1,0.0471,0.138,0.657,0.1,0.186,113.018,2764934,4
588549,Zmeyev,JazzClub,665ucvhzTLPcPL6DK7cdGs,47,2023,chill,0.755,0.31,0,-12.582,0,0.0895,0.452,0.694,0.614,0.555,79.984,117000,4
539603,SIERRA,All About Love,701myCatM7U4yFSE8AXFTg,20,2022,club,0.47,0.904,7,-7.697,1,0.0349,0.000747,0.924,0.113,0.0452,123.004,309248,4
1134699,Chuck Love,Beautiful Thang - Sven Van Hees Art-Broken Mix,15b3XNHlDCYPTihfrAhZW7,0,2007,deep-house,0.734,0.773,0,-8.063,1,0.0367,0.000231,0.225,0.0809,0.917,125.974,327680,4
908275,Manoella Torres,Mi Soledad,6PLkXJIP8i3kfRiV0Xyqr4,13,2003,rock-n-roll,0.495,0.488,10,-5.799,1,0.0277,0.462,7.68e-06,0.152,0.317,107.835,209453,4
320584,Kip Moore,Plead The Fifth - Acoustic,7tGimbqfYX54WnONkqzHm0,41,2018,country,0.677,0.84,0,-7.314,1,0.0563,0.501,0.0,0.105,0.897,150.008,173187,4
181046,The Peanut Butter Conspiracy,Turn On a Friend (To the Good Life),6bzGV32DRpRfnP4KM5Ht5d,16,2015,garage,0.325,0.443,2,-12.478,1,0.0332,0.146,1.84e-05,0.113,0.714,165.671,139933,4
124110,DJ Hype,Girls - DJ Hype & Potential Bad Boys Refix,5VubuAGvWMT6w8rCMd5Kkw,29,2014,drum-and-bass,0.677,0.923,8,-4.091,0,0.0541,0.0203,0.00955,0.215,0.653,87.988,338302,4
572098,Frank Zappa,Big Swifty - Alternate Take,5qA1qYcZn5Lh5MB0N7D9qH,24,2022,psych-rock,0.404,0.635,11,-11.663,0,0.0531,0.116,0.539,0.135,0.561,99.915,910951,3
1066159,Osunlade,Music For The Gods,60mWMUdenqnSjEqPVOpomd,1,2006,deep-house,0.585,0.725,0,-7.645,1,0.0425,0.172,0.769,0.0624,0.96,190.751,400480,4
362864,Yung Beef,Un Corazón y Una Flecha (feat. Saox),4vq0ubfjGZBooJv6iH5Nj4,35,2018,spanish,0.739,0.641,10,-6.141,0,0.268,0.171,0.000174,0.122,0.473,146.907,178758,4
27042,Gaza,Mostly Hair and Bones Now,7GkmUTy95HKwQ162wFo5tO,26,2012,grindcore,0.0993,0.83,7,-4.949,1,0.232,3.74e-05,0.836,0.146,0.0389,166.064,154960,3
